Date,Close,High,Low,Open,Volume,Log_Return
5/14/2019,1294.699951,1297.800049,1294.699951,1297.800049,6,-0.004162195
5/15/2019,1296.300049,1296.900024,1296,1296.900024,55,0.00123512
5/16/2019,1285,1285.400024,1285,1285.199951,3,-0.008755372
5/17/2019,1274.5,1280,1274.5,1280,1,-0.008204774
5/20/2019,1276.099976,1276.099976,1276.099976,1276.099976,20,0.001254588
5/21/2019,1272,1272,1272,1272,0,-0.003218068
5/22/2019,1273.599976,1273.599976,1273.599976,1273.599976,0,0.001257052
5/23/2019,1284.800049,1284.800049,1284.800049,1284.800049,0,0.008755585
5/24/2019,1283,1283,1283,1283,9,-0.001402017
5/28/2019,1276.5,1276.5,1276.5,1276.5,0,-0.005079128
5/29/2019,1280.599976,1280.599976,1280.599976,1280.599976,189694,0.003206741
5/30/2019,1287.099976,1288.300049,1273.900024,1279.400024,55573,0.005062908
5/31/2019,1305.800049,1306.400024,1287.5,1287.699951,2814,0.01442431
6/3/2019,1322.699951,1327.800049,1307,1307,812,0.012859148
6/4/2019,1323.400024,1328.599976,1320.800049,1324.300049,302,0.000529136
6/5/2019,1328.300049,1343.300049,1326.300049,1328.900024,622,0.003695765
6/6/2019,1337.599976,1338.699951,1326.199951,1330.800049,161,0.006976979
6/7/2019,1341.199951,1347.699951,1329.800049,1333.099976,240,0.002687754
6/10/2019,1324.699951,1336.5,1324.099976,1335.800049,268,-0.012378717
6/11/2019,1326.400024,1328.400024,1319.099976,1328.400024,201,0.001282542
6/12/2019,1331.900024,1334.5,1326.900024,1326.900024,139,0.004137989
6/13/2019,1339.199951,1341.099976,1331.599976,1331.599976,157,0.005465872
6/14/2019,1340.099976,1355.400024,1339.300049,1345.400024,914,0.000671836
6/17/2019,1338.699951,1340.300049,1335,1339,76,-0.001045262
6/18/2019,1346.599976,1349.300049,1341.599976,1349.300049,29,0.005883922
6/19/2019,1344.599976,1344.599976,1344,1344,129,-0.001486326
6/20/2019,1392.900024,1392.900024,1379.5,1381.5,76,0.035291369
6/21/2019,1396.199951,1406,1390.300049,1406,35,0.002366303
6/24/2019,1414.300049,1420.599976,1402.099976,1406,125,0.012880518
